event_id,date,region,rainfall_mm,affected_population,damage_usd,data_source
EVT_0001,2023-08-17,East,37.0,209,113430.8,satellite
EVT_0002,2016-04-17,South,94.6,978,1124402.06,local_survey
EVT_0003,2012-06-13,North,88.5,345,242873.33,gov
EVT_0004,2015-07-05,East,100.2,1295,1197765.41,satellite
EVT_0005,2015-02-13,East,50.3,289,191933.33,satellite
EVT_0006,2020-03-03,East,74.3,390,552515.62,gov
EVT_0007,2023-05-01,North,117.5,527,955691.45,local_survey
EVT_0008,2013-02-13,West,56.2,373,231541.84,satellite
EVT_0009,2017-06-26,West,153.3,98,109298.2,local_survey
EVT_0010,2011-11-20,North,134.4,743,918683.68,gov
EVT_0011,2015-11-15,Central,126.7,352,277036.79,local_survey
EVT_0012,2021-04-17,East,24.9,559,107015.89,local_survey
EVT_0013,2011-05-31,Central,94.9,611,475173.61,gov
EVT_0014,2021-08-07,North,76.2,86,53671.56,satellite
EVT_0015,2010-04-09,West,122.3,408,593395.43,satellite
EVT_0016,2020-06-07,South,39.3,384,79250.16,gov
EVT_0017,2010-12-01,North,98.8,279,488591.47,satellite
EVT_0018,2010-11-26,North,54.4,317,144024.74,gov
EVT_0019,2021-07-30,South,59.4,347,129357.95,local_survey
EVT_0020,2021-10-08,East,85.6,482,416632.77,gov
EVT_0021,2013-01-27,West,41.6,381,141761.26,local_survey
EVT_0022,2024-06-25,West,74.4,509,666252.72,gov
EVT_0023,2023-07-29,Central,72.8,585,802086.3,local_survey
EVT_0024,2023-10-27,South,6.8,529,18324.26,satellite
EVT_0025,2013-02-18,South,113.2,874,1769536.43,local_survey
EVT_0026,invalid_date,North,121.5,621,1033496.71,local_survey
EVT_0027,2017-02-19,North,136.2,766,1476823.2,local_survey
EVT_0028,2010-05-03,South,70.5,681,569035.71,satellite
EVT_0029,2014-01-11,South,63.4,1,490.35,satellite
EVT_0030,2012-08-23,East,85.6,741,913450.83,gov
EVT_0031,2024-01-28,West,109.6,583,996010.92,satellite
EVT_0032,2017-10-01,Central,171.1,326,525456.45,gov
EVT_0033,2022-11-15,South,6.9,784,41729.45,satellite
